X,Y,Z,Rx,Ry,Rz,time(s),time(ms)
494.804,-1.586,228.123,-179.624,19.7075,2.0985,9.76976977,9769.76977
494.911,-1.591,228.052,-179.6195,19.7017,2.1032,9.80980981,9809.80981
495.02,-1.595,227.981,-179.615,19.6959,2.1078,9.84984985,9849.84985
495.129,-1.599,227.909,-179.6105,19.6901,2.1126,9.88988989,9889.88989
495.239,-1.604,227.836,-179.606,19.6842,2.1173,9.92992993,9929.92993
495.35,-1.608,227.763,-179.6014,19.6783,2.1221,9.96996997,9969.96997
495.461,-1.612,227.69,-179.5968,19.6723,2.1269,10.01001001,10010.01001
495.574,-1.617,227.616,-179.5922,19.6663,2.1318,10.05005005,10050.05005
495.687,-1.621,227.542,-179.5876,19.6602,2.1366,10.09009009,10090.09009
495.8,-1.626,227.467,-179.5829,19.6542,2.1416,10.13013013,10130.13013
495.915,-1.63,227.392,-179.5782,19.648,2.1465,10.17017017,10170.17017
496.03,-1.635,227.316,-179.5734,19.6419,2.1515,10.21021021,10210.21021
496.146,-1.639,227.239,-179.5686,19.6357,2.1565,10.25025025,10250.25025
496.263,-1.644,227.163,-179.5638,19.6294,2.1615,10.29029029,10290.29029
496.38,-1.649,227.085,-179.559,19.6231,2.1666,10.33033033,10330.33033
496.498,-1.653,227.007,-179.5541,19.6168,2.1717,10.37037037,10370.37037
496.617,-1.658,226.929,-179.5492,19.6104,2.1768,10.41041041,10410.41041
496.737,-1.663,226.85,-179.5443,19.604,2.182,10.45045045,10450.45045
496.857,-1.668,226.771,-179.5393,19.5976,2.1872,10.49049049,10490.49049
496.979,-1.672,226.691,-179.5344,19.5911,2.1924,10.53053053,10530.53053
497.101,-1.677,226.611,-179.5293,19.5845,2.1977,10.57057057,10570.57057
497.223,-1.682,226.53,-179.5243,19.578,2.2029,10.61061061,10610.61061
497.347,-1.687,226.449,-179.5192,19.5713,2.2083,10.65065065,10650.65065
497.471,-1.692,226.367,-179.5141,19.5647,2.2136,10.69069069,10690.69069
497.596,-1.697,226.284,-179.509,19.558,2.219,10.73073073,10730.73073
497.722,-1.702,226.202,-179.5038,19.5513,2.2244,10.77077077,10770.77077
497.849,-1.707,226.118,-179.4986,19.5445,2.2299,10.81081081,10810.81081
497.976,-1.712,226.034,-179.4933,19.5376,2.2354,10.85085085,10850.85085
498.104,-1.717,225.95,-179.4881,19.5308,2.2409,10.89089089,10890.89089
498.233,-1.722,225.865,-179.4828,19.5239,2.2464,10.93093093,10930.93093
498.363,-1.727,225.78,-179.4775,19.5169,2.252,10.97097097,10970.97097
498.493,-1.732,225.694,-179.4721,19.5099,2.2576,11.01101101,11011.01101
